2025-12-13 22:09:53,648 INFO     Power Grid System  Physical World Simulation main frame inited.
2025-12-13 22:09:54,652 INFO     datamanager subthread started.
2025-12-13 22:10:13,333 INFO     Incomming message: b'GET;login;{"plcID": "PLC-01"}'
2025-12-13 22:10:13,334 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:10:13,416 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:10:13,743 INFO     Incomming message: b'POST;powerPlc;{"allswitch": [true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true]}'
2025-12-13 22:10:14,357 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:10:15,368 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:10:16,383 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:10:17,402 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:10:18,454 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:10:18,504 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:10:19,514 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:10:20,549 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:10:21,565 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:10:22,588 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:10:23,506 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:10:23,600 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:10:24,615 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:10:25,639 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:10:26,649 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:10:27,660 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:10:28,060 INFO     Incomming message: b'POST;powerPlc;{"allswitch": [true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, true, false, true]}'
2025-12-13 22:10:28,515 INFO     Incomming message: b'GET;powerLink;{"railway": null}'
2025-12-13 22:10:28,666 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
2025-12-13 22:10:29,667 INFO     Incomming message: b'GET;powerPlc;{"allswitch": null}'
