2025-04-03 14:53:48,399 INFO     Start Init the PLC: PLC-01
2025-04-03 14:53:48,401 INFO     Try to connnect to the realword [('127.0.0.1', 3001)]...
2025-04-03 14:53:48,401 INFO     Realworld emulator online, state: ready
2025-04-03 14:53:48,401 INFO     Login the realworld successfully
2025-04-03 14:53:48,402 INFO     ModbusTCP service thread run() start.
2025-04-03 14:53:48,402 INFO     Finished init the PLC: PLC-01
2025-04-03 14:53:48,403 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:53:48,613 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:53:48,613 INFO     Finished calculate all coils: [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
2025-04-03 14:53:49,433 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:53:49,648 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:53:50,472 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:53:50,687 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:53:51,508 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:53:51,721 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:53:52,529 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:53:52,746 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:53:53,568 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:53:53,783 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:53:54,599 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:53:54,802 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:53:55,615 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:53:55,823 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:53:56,642 WARNING  The reply type doesnt match.('powerPlc', 'switches')
2025-04-03 14:53:56,848 INFO     updateModBusInfo(): update holding registers: [True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, 1, True, 1, True, 1, 1]
2025-04-03 14:53:57,658 WARNING  The reply type doesnt match.('powerPlc', 'switches')
